Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,1.256771,1.259684,1.247272,1.256755,1.256755,0
2022-05-25,1.254154,1.255792,1.248424,1.254296,1.254296,0
2022-05-26,1.258701,1.262116,1.255304,1.258610,1.258610,0
2022-05-27,1.261862,1.266624,1.258717,1.261734,1.261734,0
2022-05-30,1.262515,1.266031,1.261766,1.262834,1.262834,0
2022-05-31,1.264526,1.264846,1.256250,1.264702,1.264702,0
2022-06-01,1.260970,1.261686,1.246013,1.260891,1.260891,0
2022-06-02,1.248424,1.256960,1.247038,1.248315,1.248315,0
2022-06-03,1.257782,1.259002,1.249453,1.257925,1.257925,0
2022-06-06,1.248829,1.257703,1.247988,1.249230,1.249230,0
2022-06-07,1.252317,1.259446,1.243441,1.252348,1.252348,0
2022-06-08,1.258606,1.258986,1.251502,1.258732,1.258732,0
2022-06-09,1.254217,1.255398,1.249297,1.254029,1.254029,0
2022-06-10,1.249375,1.251815,1.231557,1.249297,1.249297,0
2022-06-13,1.227807,1.230012,1.212768,1.227491,1.227491,0
2022-06-14,1.214403,1.220271,1.199256,1.214477,1.214477,0
2022-06-15,1.201345,1.212533,1.199213,1.201259,1.201259,0
2022-06-16,1.218145,1.234492,1.205037,1.217434,1.217434,0
2022-06-17,1.235025,1.235025,1.217404,1.235483,1.235483,0
2022-06-20,1.222823,1.227777,1.220063,1.222823,1.222823,0
2022-06-21,1.225010,1.231922,1.224920,1.225175,1.225175,0
2022-06-22,1.226407,1.231467,1.216856,1.226663,1.226663,0
2022-06-23,1.225325,1.229468,1.217182,1.225085,1.225085,0
2022-06-24,1.226196,1.231679,1.224350,1.226076,1.226076,0
2022-06-27,1.228803,1.233076,1.223975,1.228245,1.228245,0
2022-06-28,1.226753,1.229105,1.218769,1.226738,1.226738,0
2022-06-29,1.218635,1.221225,1.210683,1.218977,1.218977,0
2022-06-30,1.213106,1.218621,1.209438,1.213180,1.213180,0
2022-07-01,1.215998,1.216205,1.198064,1.216086,1.216086,0
2022-07-04,1.210580,1.216515,1.208634,1.210273,1.210273,0
2022-07-05,1.211402,1.212606,1.190051,1.211446,1.211446,0
2022-07-06,1.194957,1.198638,1.187761,1.194914,1.194914,0
2022-07-07,1.191895,1.202183,1.191001,1.192321,1.192321,0
2022-07-08,1.203196,1.205531,1.192194,1.202805,1.202805,0
2022-07-11,1.201779,1.201995,1.186944,1.201663,1.201663,0
2022-07-12,1.189994,1.191214,1.181126,1.190094,1.190094,0
2022-07-13,1.188269,1.195943,1.183530,1.187775,1.187775,0
2022-07-14,1.186197,1.188411,1.176318,1.186380,1.186380,0
2022-07-15,1.183866,1.187366,1.180596,1.183964,1.183964,0
2022-07-18,1.188792,1.203022,1.187550,1.188834,1.188834,0
2022-07-19,1.195072,1.204282,1.192933,1.194829,1.194829,0
2022-07-20,1.200423,1.203659,1.195829,1.200351,1.200351,0
2022-07-21,1.196616,1.200235,1.189301,1.197175,1.197175,0
2022-07-22,1.199688,1.206418,1.192023,1.199616,1.199616,0
2022-07-25,1.198423,1.208313,1.196215,1.198696,1.198696,0
2022-07-26,1.205764,1.209219,1.196544,1.205516,1.205516,0
2022-07-27,1.203818,1.208664,1.202227,1.203688,1.203688,0
2022-07-28,1.216663,1.219051,1.210449,1.216308,1.216308,0
2022-07-29,1.217448,1.224260,1.206709,1.217345,1.217345,0
2022-08-01,1.216782,1.229196,1.216486,1.216737,1.216737,0
2022-08-02,1.225956,1.227838,1.218175,1.225415,1.225415,0
2022-08-03,1.214786,1.220733,1.210156,1.214300,1.214300,0
2022-08-04,1.213946,1.219512,1.207175,1.213828,1.213828,0
2022-08-05,1.215924,1.216752,1.200769,1.215850,1.215850,0
2022-08-08,1.206389,1.213519,1.204863,1.205953,1.205953,0
2022-08-09,1.208503,1.212930,1.206826,1.208474,1.208474,0
2022-08-10,1.207263,1.227446,1.206724,1.207423,1.207423,0
2022-08-11,1.221285,1.224890,1.218294,1.221300,1.221300,0
2022-08-12,1.219661,1.221001,1.210361,1.219616,1.219616,0
2022-08-15,1.212989,1.214772,1.205124,1.212797,1.212797,0
2022-08-16,1.205560,1.211637,1.200942,1.205691,1.205691,0
2022-08-17,1.209497,1.213872,1.204152,1.204239,1.204239,0
